1;При работающих мотор - вентиляторах по вольтметру цепей управления напряжение более 60В.;Неисправность электронных регуляторов напряжения РЩ.;"- Включить дополнительную нагрузку (освещение машинного отделения, освещение ходовых частей, стеклообогрев, кондиционер.
- Для определения неисправного ГТУ поочередно удалить 6А низковольтные предохранители обмотки возбуждения на плате электронного регулятора напряжения РЩ."
2;Не разворачиваются крышевые разъединители или заземлитель.;Неисправность низковольтных цепей;"Проверить исправность АЗВ-553, 544.
Разворот заземлителя и разъединителей произвести нажатием на грибки вентилей или ключом 14  17.
Визуально убедиться в правильном положении крышевых разъединителей и заземлителя (крайние замкнуты, средний разомкнут)."
3;При включении одной из кнопок токоприёмников отключается АЗВ-357 или АЗВ-356.;КЗ в низковольтной цепи одного из токоприёмников.;Кнопку с неисправностью низковольтной цепи не включать. Следовать на одном токоприёмнике.
4;Не показывает напряжение КС по KV при поднятом токоприёмнике.;Отсутствие напряжения в КС или неисправность высоковольтного предохранителя 113.;Узнать у энергодиспетчера о наличии напряжения в КС, при его наличии - заменить высоковольтный предохранитель 113.
5;При нажатии на включающую кнопку - БВ включается, при отпуске кнопки - БВ-021 отключается.;Неисправность плюсовой цепи удержания РП-021 или проскальзывает шток пневмопривода.;При проскальзывании штока пневмопривода БВ-021 перекрыть кран 1015 к приводу БВ, при нажатой кнопке включения БВ открыть кран 1015.
6;Срабатывает АЗВ 411 или АЗВ431.;КЗ в низковольтных цепях мотор - компрессоров.;При срабатывании АЗВ 411 или 431 при включении одного из мотор-компрессоров - следовать на одном компрессоре.
7;Сработал и не восстанавливается АЗВ-401.;КЗ в цепи РП-943.;МК управлять вручную.
8;Не включается рабочий контактор отопления поезда.;Неисправность низковольтных цепей.;"Отопление поезда включается при:
- включенном ноже 701 отопления поезда;
- включенном ВУ отопления на 4-ом блоке;
- нажатой кнопке на пульте машиниста ""Отопление"".
Если один из контакторов не включается, поставить аварийный нож 705 и включить исправный контактор."
9;Не разворачивются реверсоры.;Неисправность низковольтных цепей;"Проверить:
- АЗВ 311, 312, 315; - убедиться во включенном положении ключа реверса на пульте машиниста;
- убедиться в нахождении переключателя направлений на пульте в рабочем положении.
Развернуть реверсора вручную нажатием на штоки (грибки) вентилей привода реверсоров.
Если правый верхний силовой контакт замкнут, то реверсор стоит в положении ""Вперед"" по отношению к ближайшей кабине. В нормальном состоянии на электровозе головной реверсор должен находиться в положении ""Вперед"", а задний в положении ""Назад""."
10;"На левом мониторе горит надпись ""ЗАПРЕТ ТЯГИ"".";Сбой в работе МСУЛ или ЕСАУП.;"Проверить:
- включение ЭПК-150;
- включение ключа реверсоров на пульте и нахождение переключателя направления реверсоров в положении ""Вперед"" или ""Назад"";
- включение 267 блокировки в рабочей кабине;
- АЗВ 311, 312 (определяется по развороту реверсоров или визуально);
- правильное положение реверсоров (визуально, один ""Вперед"", другой ""Назад"");
- выключенное положение реле САУТ N 359 (2 ряд сверху, последнее крайнее в ряду)."
